MFP ID,Name,Brand,Verified,Serving,Calories,Fat,Carbohydrates,Protein,Fiber,Sugar,Sodium,Calcium,Cholesterol,Iron,Monounsaturated Fat,Polyunsaturated Fat,Potassium,Saturated Fat,Trans Fat,Vitamin A,Vitamin C,Confirmations,Servings
63109883366893,"Strudel, apple",,True,oz,274.0,11.2,41.1,3.3,2.2,25.75,135.0,1.5,6.0,2.33333,3.267,5.315,149.0,2.044,0.0,0.6,2.83333,6,"[<1.00 x oz>, <1.00 x piece>, <100.00 x g>, <1.00 x gram>, <28.00 x gram>, <1.00 x lb(s)>, <1.00 x mg(s)>, <1.00 x kg(s)>]"
27917052399533,Apple,Giant,True,g,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,8.0,37,"[<154.00 x g>, <1.00 x g>, <1.00 x ounce>, <5.40 x ounce>]"
63649062178669,Apple,Panera,True,apple,80.0,0.0,21.0,0.0,4.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,46,[<1.00 x apple>]
63367720791469,Apple,Generic,True,medium (3'' dia),95.0,0.3,25.0,0.5,4.4,19.0,2.0,1.0,0.0,1.0,0.0,0.1,195.0,0.1,0.0,1.0,14.0,45,[<1.00 x medium (3'' dia)>]
62815783898989,Apple,Jonagold,True,apple,80.0,0.0,22.0,0.0,5.0,17.0,0.0,2.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,20.0,20,[<1.00 x apple>]
98549962116909,Apple,Raw,True,cup,65.0,0.2,17.0,0.3,3.0,13.0,1.0,1.0,0.0,1.0,0.0,0.1,134.0,0.0,0.0,1.0,10.0,9,"[<1.00 x cup>, <1.00 x milliliter>, <1.00 x fluid ounce>, <237.00 x milliliter>, <1.00 x tbsp(s)>]"
133461557768109,Apple,Figi,True,cup,80.0,0.0,22.0,0.0,5.0,17.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0,"[<1.00 x cup>, <1.00 x milliliter>, <1.00 x fluid ounce>, <237.00 x milliliter>, <8.00 x fluid ounce>]"
102821146668077,Apple Fritter,Apple Barn,False,fritter,190.0,17.0,10.0,1.0,0.0,2.0,115.0,0.0,5.0,4.0,12.0,1.0,0,3.5,0,0.0,0.0,1,"[<1.00 x fritter>, <1.00 x container (26 fritters ea.)>]"
133186709106605,Apple,Kroger,True,I,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,11,"[<1.00 x I>, <1.00 x container (80 I)>]"
27633597058989,Apple,Honeybear,True,apple,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,8.0,7,"[<1.00 x apple>, <1.00 x container (10 apple)>]"
